#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4740080F   3  16   t   25       6          6              1      HO    -2    15      4
 4E240210   3  16   t   25       6          6              2     HOX    -4    16   -999
 47480C0D   3  16   t   25       6          7              0      HO     3    13      4
 47480C0E   3  16   t   25       6          7              1      HO     3    14      4
 4748080D   3  16   t   25       6          7              2      HO     2    13      4
 4748040E   3  16   t   25       6          8              0      HO     1    14      4
 4748080E   3  16   t   25       6          8              1      HO     2    14      4
 4740080E   3  16   t   25       6          8              2      HO    -2    14      4
 47401C0C   3  16   b   25       7          1              0      HO    -7    12      4
 47401C0B   3  16   b   25       7          1              1      HO    -7    11      4
 47401C0D   3  16   b   25       7          1              2      HO    -7    13      4
 4740180D   3  16   b   25       7          2              0      HO    -6    13      4
 4740180C   3  16   b   25       7          2              1      HO    -6    12      4
 4740180B   3  16   b   25       7          2              2      HO    -6    11      4
 4740140C   3  16   b   25       7          3              0      HO    -5    12      4
 4740140B   3  16   b   25       7          3              1      HO    -5    11      4
 4740140D   3  16   b   25       7          3              2      HO    -5    13      4
 4748040D   3  16   b   25       7          4              0      HO     1    13      4
 4740080D   3  16   b   25       7          4              1      HO    -2    13      4
 4E24020E   3  16   b   25       7          4              2     HOX    -4    14   -999
